ADM3_EN,ADM3_SI,ADM3_TA,ADM3_PCODE,ADM2_EN,ADM2_SI,ADM2_TA,ADM2_PCODE,ADM1_EN,ADM1_SI,ADM1_TA,ADM1_PCODE,ADM0_EN,ADM0_SI,ADM0_TA,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area
Kalmunai,කල්මුනේ,கல்முனை,LK5221,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.227064203596,0.00171301414741
Sainthamaruthu,සයින්දමරුතු,சாய்ந்தமருது,LK5225,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.0730876908089,0.000274452620549
Karaitivu,කරෙයිතිවු,காரைதீவு,LK5227,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.122647667267,0.000830927334559
Nintavur,නීන්දවුර්,நிந்தவூர்,LK5230,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.253246226485,0.00294323163621
Addalaichenai,අඩ්ඩාලච්චේන,அட்டாளைச்சேனை,LK5233,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.445882282401,0.00609218624536
Irakkamam,ඉරක්කාමම්,இறக்காமம்,LK5234,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.473304442932,0.00550418161673
Akkaraipattu,අක්කරපත්තුව,அக்கறைப்பற்று,LK5236,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.50559344173,0.00439495368426
Alayadivembu,අලයාඩිවෙම්බු,ஆலயடிவேம்பு,LK5239,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.436961615636,0.00570530001494
Damana,දමන,தமனை,LK5242,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.18267569651,0.0400725782075
Tirukkovil,තිරුක්කෝවිල්,திருக்கோவில்,LK5245,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.740673344289,0.0178838334038
Pottuvil,පොතුවිල්,பொத்துவில்,LK5248,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.92037227818,0.0253140252024
Lahugala,ලාහුගල,லகுகலை,LK5251,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.26751474344,0.0666854395816
Padavi Sri Pura,පදවි ශ්‍රී පුර,பதவிசிறிபுர,LK5303,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.65797518549,0.00931653160389
Kuchchaweli,කුච්චවේලි,குச்சவெளி,LK5306,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.32011203992,0.0367343598562
Gomarankadawala,ගෝමරන්කඩවල,கோமரங்கடவல,LK5309,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.799202621585,0.0252540041956
Morawewa,මොරවැව,மொரவெவ,LK5312,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.88979642123,0.0228481728468
Town & Gravets,ත්‍රිකුණාමල,திருகோணமலை,LK5315,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.05811789811,0.0106625790162
Thambalagamuwa,තඹලගමුව,தம்பலகாமம்,LK5318,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.876941494932,0.0225167464531
Kantale,කන්තලේ,கந்தளாய்,LK5321,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.03209489543,0.03387978999
Kinniya,කින්නියා,கிண்ணியா,LK5324,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.623714771604,0.0124433593563
Muthur,මුත්තූර්,மூதூர்,LK5327,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.855251484112,0.0159435694055
Seruvila,සේරුවිල,சேருவிலை,LK5330,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.12825845101,0.02407502248
Verugal,වෙරුගල්,வெருகல் - ஈச்சிலம்,LK5333,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.548735367228,0.00743170369003
Giribawa,ගිරිබාව,கிரிபாவை,LK6103,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.644688312204,0.0168483027797
Galgamuwa,ගල්ගමුව,கல்கமுவை,LK6106,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.07628982562,0.0224085006488
Ehetuwewa,ඇහැටුවැව,எகடுவெவை,LK6109,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.873355658625,0.014066359098
Ambanpola,අඹන්පොළ,அம்பன்பொலை,LK6112,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.580997190223,0.0115073133021
Kotawehera,කොටවෙහෙර,கொட்டவெகரை,LK6115,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.823889211877,0.0155424657964
Rasnayakapura,රස්නායකපුර,இரஸ்நாயக்கபுரம்,LK6118,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.671889739127,0.0102109367136
Nikaweratiya,නිකවැරටිය,நிக்கவெரட்டி,LK6121,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.742098046232,0.0124038416008
Maho,මහව,மாகோ,LK6124,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.895554802034,0.0214293010134
Polpitigama,පොල්පිතිගම,பொல்பித்திகமை,LK6127,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.08480627687,0.0340739841393
Ibbagamuwa,ඉබ්බාගමුව,இப்பாகமுவை,LK6130,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.896958026326,0.0177956106594
Ganewatta,ගනේවත්ත,கனேவத்தை,LK6133,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.731806648906,0.0123142113697
Wariyapola,වාරියපොල,வாரியப்பொலை,LK6136,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.861540244433,0.0165539219861
Kobeigane,කොබෙයිගනේ,கொபேய்கனை,LK6139,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.651239559815,0.010677569238
Bingiriya,බිංගිරිය,பிங்கிறியா,LK6142,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.858691454474,0.0158655753717
Panduwasnuwara West,පඩුවස්නුවර බටහිර,பண்டவஸ்நுவரை மேற்,LK6145,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.901703476892,0.0148290628665
Panduwasnuwara East,පඩුවස්නුවර නැගෙනහ,பண்டவஸ்நுவரை கிழக,LK6148,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.566844345284,0.00839824346287
Bamunakotuwa,බමුණුකොටුව,பமுணுகொடுவை,LK6149,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.511284739276,0.00905641643125
Maspotha,මාස්පොත,மஸ்பொத்தை,LK6151,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.515407552845,0.00543693701319
Kurunegala,කුරුණෑගල,குருணாகல்,LK6154,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.956160106626,0.00800462154108
Mallawapitiya,මල්ලවපිටිය,மல்லவபிட்டி,LK6157,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.660998551169,0.00649219066902
Mawathagama,මාවතගම,மாவத்தகமை,LK6160,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.713150702823,0.00888164038567
Rideegama,රිදිගම,ரிதிகமை,LK6163,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.870970421171,0.0184459800253
Weerabugedara,වීරඹුගෙදර,வெரம்புகெதறை,LK6166,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.535330722121,0.00752239087046
Kuliyapitiya East,කුලියාපිටිය නැගෙන,குளியாப்பிட்டி கி,LK6169,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.64910440475,0.00932050668722
Kuliyapitiya West,කුලියාපිටිය බටහිර,குளியாப்பிட்டி மே,LK6172,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.799979329894,0.0135565716218
Udubaddawa,උඩුබැද්දාව,உடுபத்தாவை,LK6175,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.570079205202,0.00982257922573
Pannala,පන්නල,பன்னலை,LK6178,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.958835653264,0.0231136849846
Narammala,නාරම්මල,நாரம்மலை,LK6181,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.649230927616,0.00888932745846
Alawwa,අලව්ව,அலவை,LK6184,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.510883726206,0.0106666850839
Polgahawela,පොල්ගහවෙල,பொல்கஹவெலை,LK6187,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.471757825892,0.00790908610023
Kalpitiya,කල්පිටිය,கற்பிட்டி,LK6203,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",2.40562013254,0.0133440414438
Vanathavilluwa,වනාතවිල්ලුව,வானத்தவில்லு,LK6206,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.75282597696,0.0605342448959
Karuwalagaswewa,කරුවලගස්වැව,கறுவெலகஸ்வெவை,LK6209,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1.16111711682,0.041000822771
Nawagattegama,නවගත්තේගම,நவகத்தேகமை,LK6212,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.588251818749,0.0140668105436
Puttalam,පුත්තලම,புத்தளம்,LK6215,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.731023579872,0.0142693582322
Mundel,මුන්දලම,முந்தல்,LK6218,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.942904154755,0.0202046035508
Mahakumbukkadawala,මහකුඹුක්කඩවල,மகாகும்புக்கடவலை,LK6221,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.737666933494,0.0151720535916
Anamaduwa,ආණමඩුව,ஆனமடுவை,LK6224,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.947334273641,0.0203879041304
Pallama,පල්ලම,பள்ளமை,LK6227,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.731093751656,0.0099350671374
Arachchikattuwa,ආරච්චිකට්ටුව,ஆராச்சிக்கட்டு,LK6230,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,"""2022-08-02T00:00:00.000Z""","""2022-08-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0.699483132049,0.0129898792315
